{6e8d60c2-82f3-4a83-a989-553f3294af3c} event:/char/attacks/creature
{9b70b055-abc7-4f0b-8dea-fdda6de1cc88} event:/char/attacks/fire
{a6b2381f-1321-4a9d-8014-80eb3b64cbec} event:/char/attacks/ice
{2d5d4116-4bcb-4091-a7d5-c5907c6f2c7f} event:/char/attacks/impact_damage
{355d69b5-7048-4e15-a176-a4d9b17ac3cd} event:/char/Cthulhu/cthulhu_attack
{4023b061-7b24-4641-a46f-f0a374151798} event:/char/unit001/attack_1
{db633f0a-28dd-4a94-b0a1-ca59a8997d97} event:/char/unit_c/Unit_C_Mage_Atk_Front
{1177e083-1acf-45d1-a3a3-ded256c3c09c} event:/char/unit_c/Unit_C_Sco_Atk_Front
{6e67f455-de8f-4e53-8bd9-90911e1c3d14} event:/char/unit_c/Unit_C_Ske_Atk_Front
{c6525edf-cfd2-4212-b918-4007ebb1de20} event:/char/unit_c/Unit_C_Sol_Atk_Front
{7596df4f-e71c-41a8-91bd-14665ca6021e} event:/char/unit_e/Unit_E_Mage_Atk_front
{bbc106db-027a-4483-a124-5264f94bbe8b} event:/char/unit_e/Unit_E_Sco__Atk_Front
{94d31a85-4dc9-4acd-911a-2f452e318bf9} event:/char/unit_e/Unit_E_Sol_Atk
{60a90dd3-34fa-4ed5-a868-3b42092432a8} event:/char/unit_h/Unit_H_Scout_Atk_Front
{52590370-5588-4c2c-b04e-78dab81f4ec7} event:/char/unit_h/Unit_H_Sol_Atk_Front
{e18396d9-992e-4c5c-879c-8122105e751d} event:/char/unit_h/Unit_H_Mage
{d5b9d4ae-4b6a-4e85-ace8-97245599dbc2} event:/UI/char_select/select_accept
{0ba5af35-2b71-4d54-be0c-0c66ebe96e7f} event:/UI/char_select/select_creature
{b72779d2-3ca1-4bcc-8960-276ac3327d9c} event:/UI/char_select/select_mage
{6f44e8f9-26f6-4f83-8bfe-50b5c7ffa139} event:/UI/char_select/select_monster
{0751a40a-8549-4352-b26b-3b1eeb3fb14e} event:/UI/letter
{12530ee7-7315-4136-93e3-2e5fc7770b94} event:/UI/select_save
{9cd40fb4-fea1-4917-bae3-215bf200e1c8} event:/UI/select_world
{2d3e417c-ba69-4814-adec-ed03ae04698b} event:/music_event
{4bc6d77c-23f5-4260-9d97-1a30cc8e92df} event:/music_intro
{720c9583-162c-4f53-82f1-72ee7b17b3ea} event:/test
{a3ed0f38-124a-4279-a05e-09a38ad91c75} bus:/
{b2fd7382-82f9-4603-8fd4-ea1743fba553} bus:/Music
{e206f382-d903-4258-b9d6-a56647f68e3b} bus:/SFX
{644e01f2-afc4-43ed-986b-260bb2918dcd} bus:/SFX/SFX_battle
{602ac578-c925-4834-ac3c-4cceb59a3702} bus:/SFX/SFX_impact
{8752b51f-2995-4b1a-b8d4-834c91ab35f4} bus:/Reverb
{c905582d-00fd-4469-84e3-c3744d606fe6} vca:/Music
{48d06d00-b3c0-48e1-a8e5-69545c43c8e0} vca:/SFX
{ffd8e091-37eb-4dd1-b327-e937b45f3ac9} snapshot:/cutscene
{5a63793f-5af4-447b-81ff-724fbab9a43d} bank:/Master Bank
